id,data,cidade_id,local,bairro,via,numero,latitude,longitude,natureza_id,hora,periodo
25,2015-10-03,1,"Jardim América, Jesuita",Jardim América,Jesuita,,,,3,00:00:00,00:00 - 05:59
26,2015-10-30,1,"Centro, Avenida dos Pinheiros",Centro,Avenida dos Pinheiros,,-11.8310645,-55.501237400000036,3,00:00:00,00:00 - 05:59
27,2015-10-17,1,"Residencial Jaraguá do Sul, Rua Jaraguá",Residencial Jaraguá do Sul,Rua Jaraguá,,-26.4776624,-49.04001690000001,6,00:08:00,00:00 - 05:59
28,2015-10-03,1,"Centro, Avenida das Embaúbas",Centro,Avenida das Embaúbas,,-11.8573162,-55.50872559999999,3,00:10:00,00:00 - 05:59
29,2015-10-03,1,"Centro, Avenida das Embaúbas",Centro,Avenida das Embaúbas,,-11.8573162,-55.50872559999999,8,00:10:00,00:00 - 05:59
30,2015-10-12,1,"Jardim Umuarama 2, Rua José Gonçalves",Jardim Umuarama 2,Rua José Gonçalves,,-11.9236527,-55.506353200000035,6,00:30:00,00:00 - 05:59
31,2015-10-26,1,"Jardim Umuarama 2, Rua José Gonçalves",Jardim Umuarama 2,Rua José Gonçalves,,-11.9236527,-55.506353200000035,6,00:30:00,00:00 - 05:59
32,2015-10-28,1,"Jardim Boa Esperança, Avenida André Maggi, 1398",Jardim Boa Esperança,Avenida André Maggi,1398,-11.8364951,-55.5173389,8,00:30:00,00:00 - 05:59
33,2015-10-14,1,"Altos da Gloria, BR 163",Altos da Gloria,BR 163,,-11.9752571,-55.51684535,7,00:32:00,00:00 - 05:59
34,2015-10-25,1,"Centro, Avenida Governador Júlio Campos",Centro,Avenida Governador Júlio Campos,,-11.8559949,-55.5040242,3,01:00:00,00:00 - 05:59
35,2015-10-31,1,"Vitória Régia, Rua 7, 1540",Vitória Régia,Rua 7,1540,-11.8826762,-55.52474540000003,3,01:00:00,00:00 - 05:59
36,2015-10-15,1,"Menino Jesus 1, Rua Brasil, 1120",Menino Jesus 1,Rua Brasil,1120,-11.8854755,-55.49890429999999,8,01:01:00,00:00 - 05:59
37,2015-10-10,1,"Jardim das Azaléias, Avenida André Maggi",Jardim das Azaléias,Avenida André Maggi,,-11.8213257,-55.50842499999999,3,01:30:00,00:00 - 05:59
38,2015-10-18,1,"Jardim América, Rua Formosa",Jardim América,Rua Formosa,,-11.8370647,-55.52335849999997,5,01:30:00,00:00 - 05:59
39,2015-10-07,1,"Jardim das Palmeiras, Avenida das Itaúbas",Jardim das Palmeiras,Avenida das Itaúbas,,-11.8427818,-55.50710509999999,6,01:50:00,00:00 - 05:59
40,2015-10-01,1,"Belo Ramo, Rua Centro Oeste, 574",Belo Ramo,Rua Centro Oeste,574,,,3,02:00:00,00:00 - 05:59
41,2015-10-03,1,"Zona Rural, BR 364",Zona Rural,BR 364,,,,3,02:00:00,00:00 - 05:59
42,2015-10-14,1,"Jardim das Violetas, Rua dos Cravos, 496",Jardim das Violetas,Rua dos Cravos,496,-11.8366957,-55.51069369999999,3,02:00:00,00:00 - 05:59
43,2015-10-22,1,"Residencial Jaraguá do Sul, Estrada Alzira",Residencial Jaraguá do Sul,Estrada Alzira,,-11.8910844,-55.51479440000003,3,02:00:00,00:00 - 05:59
44,2015-10-23,1,"Centro, Rua das Azaléias",Centro,Rua das Azaléias,,-11.8465011,-55.50662820000002,3,02:00:00,00:00 - 05:59
45,2015-10-31,1,"Setor Industrial, Rua Porto Velho, 1120",Setor Industrial,Rua Porto Velho,1120,-11.8606221,-55.491341199999965,7,02:07:00,00:00 - 05:59
46,2015-10-03,1,"Setor Comercial, Rua das Primaveras, 5093",Setor Comercial,Rua das Primaveras,5093,-11.8425155,-55.497007199999985,3,02:30:00,00:00 - 05:59
47,2015-10-01,1,"Daury Riva, Rua Projetada X",Daury Riva,Rua Projetada X,,,,3,03:00:00,00:00 - 05:59
48,2015-10-11,1,"Daury Riva, Avenida União do Norte",Daury Riva,Avenida União do Norte,,,,3,03:00:00,00:00 - 05:59
49,2015-10-25,1,"Jardim das Palmeiras, Avenida das Itaúbas",Jardim das Palmeiras,Avenida das Itaúbas,,-11.8427818,-55.50710509999999,5,03:00:00,00:00 - 05:59
50,2015-10-31,1,"Camping Club, Camping Club, 40",Camping Club,Camping Club,40,-11.8480193,-55.5081012,4,03:26:00,00:00 - 05:59
51,2015-10-31,1,"Camping Club, Camping Club, 40",Camping Club,Camping Club,40,-11.8480193,-55.5081012,8,03:26:00,00:00 - 05:59
52,2015-10-17,1,"São Cristóvão, BR 163",São Cristóvão,BR 163,,-14.4024697,-56.10886420000003,5,03:30:00,00:00 - 05:59
53,2015-10-23,1,"Jardim Jacarandás, Rua das Primaveras, 533",Jardim Jacarandás,Rua das Primaveras,533,-11.8824936,-55.507284200000015,5,04:00:00,00:00 - 05:59
54,2015-10-27,1,"Jardim das Violetas, Rua das Sucupiras, 807",Jardim das Violetas,Rua das Sucupiras,807,-11.8306575,-55.511457199999995,3,04:00:00,00:00 - 05:59
55,2015-10-17,1,"Setor Industrial, BR 163",Setor Industrial,BR 163,,-11.8595279,-55.49480470000003,3,04:30:00,00:00 - 05:59
56,2015-10-10,1,"Centro, Avenida das Itaúbas",Centro,Avenida das Itaúbas,,-11.8545723,-55.51015849999999,4,05:00:00,00:00 - 05:59
57,2015-10-11,1,"Jardim das Palmeiras, Rua das Peróbas, 208",Jardim das Palmeiras,Rua das Peróbas,208,-11.8443817,-55.5067689,3,05:00:00,00:00 - 05:59
58,2015-10-18,1,"Jardim Celeste, Rua dos Gerânios, 365",Jardim Celeste,Rua dos Gerânios,365,-11.8789744,-55.512676899999974,6,05:30:00,00:00 - 05:59
59,2015-10-31,1,"Jardim das Palmeiras, Avenida das Palmeiras, 3011",Jardim das Palmeiras,Avenida das Palmeiras,3011,-11.8431633,-55.5209921,3,05:50:00,00:00 - 05:59
60,2015-10-14,1,"Jardim das Palmeiras, Rua das Peróbas, 524",Jardim das Palmeiras,Rua das Peróbas,524,-11.8436862,-55.509551999999985,3,06:00:00,06:00 - 11:59
61,2015-10-17,1,"Outros, Rua Ulisses Guimarães",Outros,Rua Ulisses Guimarães,,,,3,06:00:00,06:00 - 11:59
62,2015-10-29,1,"Jardim Boa Vista, Rua 1, 11",Jardim Boa Vista,Rua 1,11,-11.8532952,-55.49954790000004,3,06:00:00,06:00 - 11:59
63,2015-10-31,1,"Comunidade Brígida, Estrada Brígida",Comunidade Brígida,Estrada Brígida,,,,3,06:00:00,06:00 - 11:59
64,2015-10-27,1,"Comunidade Vitória, Rua Rua",Comunidade Vitória,Rua Rua,,,,7,06:10:00,06:00 - 11:59
65,2015-10-13,1,"Zona Rural, Estrada Sabrina",Zona Rural,Estrada Sabrina,,-11.9133693,-55.49841520000001,3,06:20:00,06:00 - 11:59
66,2015-10-15,1,"Jardim Terra Rica, Rua Bebedouro",Jardim Terra Rica,Rua Bebedouro,,-11.8484979,-55.489284,3,06:30:00,06:00 - 11:59
67,2015-10-11,1,"Jardim Terra Rica, Rua Caxias do Sul, 29",Jardim Terra Rica,Rua Caxias do Sul,29,-11.8831529,-55.49479280000003,3,06:40:00,06:00 - 11:59
68,2015-10-26,1,"Jardim das Primaveras, Avenida das Palmeiras, 1330",Jardim das Primaveras,Avenida das Palmeiras,1330,-11.8470264,-55.50441860000001,3,06:40:00,06:00 - 11:59
69,2015-10-08,1,"Vila Juliana, Estrada Sabrina",Vila Juliana,Estrada Sabrina,,-11.9133693,-55.49841520000001,3,07:00:00,06:00 - 11:59
