USO ILÍCITO DE DROGAS,RESID. NOSSA SENHORA APARECIDA,RUA,ZUMIRA PAIVA,741,11/19/2016,03:30:00
TRÁFICO ILÍCITO DE DROGAS,RESID.  JOSÉ ADRIANO LEITÃO,ESTRADA,ALZIRA,,9/19/2016,09:30:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,PARAISO,1198,5/5/2016,18:30:00
FURTO,RESID.  JOSÉ ADRIANO LEITÃO,RUA,PROJETADA 02,180,5/27/2016,16:00:00
FURTO,ALTO DA GLÓRIA,RUA,GUARAPUAVA,0,5/30/2016,18:00:00
FURTO,ALTO DA GLÓRIA,RODOVIA,BR 163,,8/16/2016,09:30:00
FURTO,ALTO DA GLÓRIA,RUA,JOAO PEDRO MOREIRA DE CARVALHO,,11/18/2016,14:00:00
TRÁFICO ILÍCITO DE DROGAS,ALTO DA GLÓRIA,RODOVIA,BR 163,,7/24/2016,04:30:00
ROUBO,ALTO DA GLÓRIA,RODOVIA,BR 163,,7/24/2016,19:45:00
ROUBO,ALTO DA GLÓRIA,RUA,DELMIRA MARCA,1008,6/29/2016,21:00:00
ROUBO,ALTO DA GLÓRIA,RUA,DINO RICARDO LORENZETE,769,9/24/2016,22:30:00
FURTO,ALTO DA GLÓRIA,RUA,ENIO PEPINO,,7/18/2016,20:00:00
FURTO,ALTO DA GLÓRIA,AVENIDA,JOAO PEDRO MOREIRA CARVALHO,,9/30/2016,06:00:00
FURTO,ALTO DA GLÓRIA,RUA,MARAU,640,8/24/2016,23:00:00
HOMICÍDIO DOLOSO,ALTO DA GLÓRIA,RUA,MARAU,,9/10/2016,20:00:00
ROUBO,ALTO DA GLÓRIA,RUA,PARANA,562,10/12/2016,18:30:00
FURTO,ALTO DA GLÓRIA,RUA,PASSO FUNDO,730,8/16/2016,15:00:00
ROUBO,ALTO DA GLÓRIA,RUA,PASSO FUNDO,996,9/28/2016,19:30:00
ROUBO,ALTO DA GLÓRIA,RUA,PASSO FUNDO,,8/15/2016,15:30:00
FURTO,ALTO DA GLÓRIA,,,,9/18/2016,12:00:00
ROUBO,ALTO DA GLÓRIA,,,,9/16/2016,20:00:00
FURTO,ALTO DA GLÓRIA,,,,9/14/2016,18:30:00
FURTO,ALTO DA GLÓRIA,RODOVIA,821,,9/5/2016,10:30:00
FURTO,ALTO DA GLÓRIA,RODOVIA,BR 163,,8/7/2016,17:10:00
ROUBO,ALTO DA GLÓRIA,RODOVIA,BR 163,,6/8/2016,09:30:00
TRÁFICO ILÍCITO DE DROGAS,ALTO DA GLÓRIA,RODOVIA,BR 163,,5/11/2016,20:50:00
ROUBO,ALTO DA GLÓRIA,RUA,FARROPILHA,,11/6/2016,21:30:00
ROUBO,ALTO DA GLÓRIA,RUA,FARROPILHA,,11/6/2016,
TRÁFICO ILÍCITO DE DROGAS,ALTO DA GLÓRIA,RUA,FARRUPILHA,135,6/4/2016,20:00:00
FURTO,ALTO DA GLÓRIA,RUA,MARAU,l 27,7/30/2016,09:00:00
FURTO,ALTO DA GLÓRIA,RUA,MARAU,Q11,12/5/2016,13:00:00
FURTO,ALTO DA GLÓRIA,RUA,,,5/1/2016,22:00:00
FURTO,ALTO DA GLÓRIA,,,,6/9/2016,08:00:00
FURTO,ALTO DA GLÓRIA,,,,10/20/2016,13:00:00
TRÁFICO ILÍCITO DE DROGAS,ALTO DA GLÓRIA,RODOVIA,BR 163 KM 819,,10/10/2016,03:00:00
FURTO,ALTO DA GLÓRIA,RUA,CAMPOS NOVOS,,5/16/2016,19:00:00
FURTO,,AVENIDA,ANDRE MAGGI,,8/31/2016,10:00:00
ROUBO,,AVENIDA,ANDRE MAGGI,,11/28/2016,14:10:00
FURTO,,AVENIDA,ANDRE MAGGI,,10/6/2016,10:35:00
ROUBO,,AVENIDA,JEQUITIBAS,,5/6/2016,18:20:00
FURTO,,,,,10/22/2016,10:00:00
ROUBO,,,,,10/15/2016,21:00:00
ROUBO,ALTO DA GLÓRIA,RUA,PARANA,,10/12/2016,18:30:00
ROUBO,,,,,9/28/2016,09:30:00
FURTO,JARDIM DAS AZALÉIAS,RUA,VIOLETAS,3862,8/16/2016,18:30:00
FURTO,JARDIM DAS VIOLETAS,RUA,RUA DOS GUAPURUVUS JARDIM DAS VIOLETAS,,9/27/2016,14:33:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,22,6/11/2016,01:00:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,,6/12/2016,23:55:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,JOÃO PEDRO MOREIRA DE CARVALHO,,6/11/2016,03:30:00
FURTO,SETOR INDUSTRIAL NORTE,,,,9/8/2016,02:00:00
FURTO,,RODOVIA,BR 163,KM 845,6/4/2016,
FURTO,RESID. BELLA SUÍÇA I E II,AVENIDA,FLAMBOYANTS,,7/26/2016,15:00:00
FURTO,SETOR COMERCIAL,RUA,SETOR COMERCIAL OESTE,,5/10/2016,04:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,1,,9/26/2016,16:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,2,,9/8/2016,19:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,2,,8/25/2016,09:15:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,8,,9/29/2016,12:50:00
FURTO,JARDIM BOA ESPERANÇA,RUA,10,,8/1/2016,17:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,10,,7/15/2016,14:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,11,,9/11/2016,09:30:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,11,,8/13/2016,06:30:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,12,,7/20/2016,17:40:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,12,,6/24/2016,16:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,13,2661,6/15/2016,08:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,13,,9/15/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,17,,8/18/2016,10:30:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,17,,10/14/2016,11:10:00
ROUBO,JARDIM BOA ESPERANÇA,AVENIDA,ANDRE MAGGI,,8/27/2016,22:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,AVENIDA,ANDRE MAGGI,,7/12/2016,23:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,ARMANDO DIAS,645,10/31/2016,03:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,ARMANDO DIAS,1025,8/17/2016,04:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,ARMANDO DIAS,93B,7/18/2016,09:00:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,BENEDITO NOGUEIRA,,9/1/2016,20:20:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,BRAS CLARO DOS ANJOS,2372,8/31/2016,06:02:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,BRAZ CLARA DOS ANJOS,,9/11/2016,21:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,CABO MANOEL A NASCIMENTO,2001,8/10/2016,15:50:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,CABO MANOEL AGOSTINHO DO NASCIMENTO,2055,5/20/2016,16:30:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,DARCI DA CROCE,2762,9/17/2016,12:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,DR. CLAUDIOMIRO M. DE CARVALHO,2033,8/8/2016,03:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,EMANOEL SANTANA,,5/19/2016,19:40:00
FURTO,JARDIM BOA ESPERANÇA,RUA,MANOEL SANTANA,850,9/30/2016,15:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,MANOEL SANTANA,,9/2/2016,17:14:00
FURTO,JARDIM BOA ESPERANÇA,RUA,NOVE,2260,8/2/2016,01:30:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,OTAVIO PEREIRA LIMA,1725,6/12/2016,11:10:00
FURTO,JARDIM BOA ESPERANÇA,RUA,OTAVIO PEREIRA LIMA,2190,10/14/2016,10:30:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PADRE ANTONIO HAIDDLER,,7/7/2016,07:15:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PASTOR MANOEL SANTANA,157,8/16/2016,23:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,PASTOR MANOEL SANTANA,,8/31/2016,07:00:00
FURTO,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,81,11/9/2016,09:30:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,,9/6/2016,22:00:00
USO ILÍCITO DE DROGAS,JARDIM BOA ESPERANÇA,RUA,PAULO PAN,,12/29/2016,09:00:00
ROUBO,JARDIM BOA ESPERANÇA,RUA,RUA 08,,10/14/2016,07:00:00
ROUBO,JARDIM BOA ESPERANÇA,,,,9/12/2016,12:00:00
FURTO,JARDIM BOA ESPERANÇA,,,,8/2/2016,16:00:00
ROUBO,JARDIM BOA ESPERANÇA,,,,5/21/2016,23:00:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,13,12/20/2016,01:45:00
USO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,,5/2/2016,19:30:00
HOMICÍDIO DOLOSO,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/30/2016,16:40:00
,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/30/2016,16:40:00
TRÁFICO ILÍCITO DE DROGAS,CHÁCARA DE LAZER BOA VISTA,RUA,1,,12/14/2016,17:25:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,1,,11/27/2016,07:00:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,2,24,7/29/2016,01:30:00
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,2,,12/20/2016,
FURTO,CHÁCARA DE LAZER BOA VISTA,RUA,DOIS,lt 12,11/16/2016,08:00:00
FURTO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,8/14/2016,21:30:00
ROUBO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,5/21/2016,06:10:00
HOMICÍDIO DOLOSO,CHÁCARA DE LAZER BOA VISTA,ESTRADA,SABRINA,,10/29/2016,23:30:00
ROUBO,BOM JARDIM,RUA,CENTRAL,,6/7/2016,14:00:00
FURTO,BOM JARDIM,RUA,CENTRAL,,11/7/2016,10:30:00
FURTO,BOM JARDIM,RUA,JERUSALÉM,,5/16/2016,00:00:00
FURTO,BOM JARDIM,RUA,JERUSALÉM,,5/16/2016,20:00:00
TRÁFICO ILÍCITO DE DROGAS,BOM JARDIM,RUA,JERUZALEM,65,8/7/2016,12:30:00
ROUBO,BOM JARDIM,RUA,JERUZALEM,66,11/21/2016,20:30:00
FURTO,BOM JARDIM,RUA,JERUZALEM,,6/16/2016,01:00:00
FURTO,BOM JARDIM,ESTRADA,ROSARIA,,8/2/2016,03:00:00
ROUBO,BOM JARDIM,ESTRADA,ROZALIA,,11/18/2016,15:50:00
FURTO,BOM JARDIM,,,,12/2/2016,10:40:00
FURTO,JARDIM BOTÂNICO,RUA,CEDROS,102,6/27/2016,07:15:00
FURTO,JARDIM BOTÂNICO,RUA,COQUEIROS,802,5/26/2016,16:20:00
FURTO,JARDIM BOTÂNICO,RUA,ORQUIDEAS,,11/21/2016,11:50:00
FURTO,JARDIM BOTÂNICO,AVENIDA,TARUMÃS,,10/7/2016,15:30:00
FURTO,ZONA RURAL,RODOVIA,BR 163,,10/15/2016,00:30:00
FURTO,ZONA RURAL,ESTRADA,"KM 845,6",,8/17/2016,17:00:00
ROUBO,ZONA RURAL,,,,10/6/2016,16:00:00
FURTO,CAMPING CLUB,RUA,RUA PIRAIBA QUADRA 17 LOTE 28,135,12/14/2016,
FURTO,CAMPING CLUB,RUA,PIRAMBOIA,100,6/6/2016,16:00:00
FURTO,CAMPING CLUB,RUA,TAMBAQUI,225,12/17/2016,01:15:00
FURTO,CAMPING CLUB,RODOVIA,163,,5/5/2016,01:32:00
USO ILÍCITO DE DROGAS,CAMPING CLUB,RODOVIA,BR163,,12/22/2016,18:00:00
USO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,DA PRAIA,,12/16/2016,23:30:00
HOMICÍDIO DOLOSO,CAMPING CLUB,RUA,DOURADOS,105,8/3/2016,23:23:00
FURTO,CAMPING CLUB,RUA,PINTADO,235,12/2/2016,18:00:00
FURTO,CAMPING CLUB,RUA,PIRAMBOIA,25,5/14/2016,
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,TAMBAQUI,15,7/15/2016,16:00:00
ROUBO,CAMPING CLUB,RODOVIA,BR 163,,12/20/2016,19:00:00
HOMICÍDIO DOLOSO,CAMPING CLUB,RODOVIA,BR 163,,12/11/2016,03:20:00
FURTO,CAMPING CLUB,RUA,DOURADOS,255,7/27/2016,04:30:00
FURTO,CAMPING CLUB,RUA,DOURADOS,655,9/17/2016,15:30:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RUA,MATRINXÃ,,7/18/2016,10:00:00
TRÁFICO ILÍCITO DE DROGAS,CAMPING CLUB,RODOVIA,MT 220,,9/28/2016,22:35:00
