USO ILÍCITO DE DROGAS,RESIDENCIAL NSA. SRA. APARECIDA,RUA,ZUMIRA PAIVA,741,11/19/2016,03:30:00
FURTO,RESIDENCIAL NOSSA SENHORA APARECIDA,RUA,ZULMIRA PAIVA,20,6/21/2016,15:10:00
FURTO,SÃO CRISTAVÃO,RUA,ZANINI,,10/7/2016,04:00:00
FURTO,JARDIM VIOLETAS,AVENIDA,YPES,,10/25/2016,20:30:00
HOMICÍDIO DOLOSO,JARDIM BOA ESPERANÇA,RUA,XII,,6/21/2016,07:10:00
FURTO,NOVO ESTADO,RUA,XAXINS,5,11/2/2016,19:30:00
ROUBO,NOVO ESTADO,RUA,XAXINS,2202,7/8/2016,13:40:00
FURTO,JARDIM NOVO ESTADO,RUA,XAXINS,2745,12/30/2016,
TRÁFICO ILÍCITO DE DROGAS,NOVO ESTADO,RUA,XAXIM,1800,8/26/2016,15:30:00
FURTO,JARDIM NOVO ESTADO,RUA,XAXIM,15557,11/26/2016,03:30:00
HOMICÍDIO DOLOSO,VILA SANTANA 02,TRAVESSA,X,,6/4/2016,22:00:00
ROUBO,JD ACACIAS,AVENIDA,WILSON MELO,0,6/27/2016,15:00:00
FURTO,CENTRO,AVENIDA,VITORIA REGIA,,11/25/2016,17:20:00
FURTO,CENTRO,RUA,VIOLETAS,582,7/11/2016,17:00:00
FURTO,JD PALMEIRAS,RUA,VIOLETAS,1154,11/1/2016,03:05:00
ROUBO,JD VIOLETAS,RUA,VIOLETAS,2489,10/25/2016,21:00:00
FURTO,JD VIOLETAS,RUA,VIOLETAS,2606,6/14/2016,19:35:00
FURTO,AZALÉIAS,RUA,VIOLETAS,3862,8/16/2016,18:30:00
FURTO,JARDIM PALMEIRAS,RUA,VIOLETAS,,8/3/2016,10:30:00
USO ILÍCITO DE DROGAS,JD. OLIVEIRAS,RUA,VIOLETAS,,7/11/2016,16:30:00
FURTO,JD DAS OLIVEIRAS,RUA,VIOLETAS,,7/11/2016,
FURTO,CENTRO,RUA,VIOLETAS,,5/9/2016,07:40:00
FURTO,JARDIM PALMEIRAS,RUA,VIOLETAS,,5/10/2016,06:30:00
FURTO,JARDIM DAS PALMEIRAS,RUA,VIOLETAS,,12/4/2016,21:20:00
ROUBO,JARDIM PALMEIRAS,RUA,VIOLETAS,,12/30/2016,04:00:00
FURTO,JARDIM DAS PALMEIRAS,VIA,VIA,,5/19/2016,22:00:00
FURTO,JD ITÁLIA III,RUA,VERONA,3,8/16/2016,16:00:00
FURTO,JARDIM ITALIA,RUA,VERONA,1401,5/20/2016,15:00:00
FURTO,JARDIM ITALIA III,RUA,VERONA,Q:40,8/29/2016,03:00:00
TRÁFICO ILÍCITO DE DROGAS,CHACARA MARIA CAROLINA,RUA,VERA LUCIA,397-B,11/26/2016,15:00:00
TRÁFICO ILÍCITO DE DROGAS,JARDIM MARIA CAROLINA,RUA,VERA LUCIA,397-B,11/26/2016,15:00:00
FURTO,JARDIM ITALIA II,RUA,VENEZA,24,5/19/2016,21:40:00
FURTO,JARDIM ITALIA I,RUA,VENEZA,245,9/29/2016,08:00:00
FURTO,ITALIA II,RUA,VENEZA,380,5/30/2016,14:15:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALETIN DALASTRA,949,8/23/2016,02:00:00
TRÁFICO ILÍCITO DE DROGAS,RESIDENCIAL BRASILIA,RUA,VALENTIN DALASTRA COM RUA SAO LUIZ,,5/28/2016,15:30:00
FURTO,SETOR INDUSTRIAL,RUA,VALENTIM DALASTRA,1064,8/19/2016,11:00:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,VALDIR DORNNER,321,5/14/2016,20:35:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,VALDIR DORNER,195,12/10/2016,16:30:00
FURTO,SETOR INDUSTRIAL,RUA,VALDIR DORNER,208,9/23/2016,03:00:00
FURTO,SETOR INDUSTRIAL NORTE,RUA,VALDIR DORNER,472,5/1/2016,07:00:00
FURTO,INDUSTRIAL SUL,RUA,VALDIR DORNER,615,9/8/2016,09:50:00
FURTO,SETOR INDUSTRIAL,RUA,VALDIR DORNER,1392,5/21/2016,17:30:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DORNER,1622,8/15/2016,03:00:00
FURTO,SETOR INDUSTRIAL,RUA,VALDIR DORNER,,11/6/2016,04:00:00
ROUBO,SETOR INDUSTRIAL NORTE,RUA,VALDIR DORNER,,8/31/2016,21:00:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DORNER,,8/20/2016,00:30:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DORNER,,8/17/2016,21:40:00
ROUBO,SETOR INDUSTRIAL,RUA,VALDIR DORNER,,5/14/2016,04:00:00
TRÁFICO ILÍCITO DE DROGAS,SETOR INDUSTRIAL,RUA,VALDIR DORNER,,11/12/2016,05:40:00
HOMICÍDIO CULPOSO,SETOR INDUSTRIAL,RUA,VALDIR DORNE,1392,9/18/2016,00:07:00
FURTO,SETOR INDUSTRIAL,RUA,VALDIR DORNE,,7/16/2016,05:30:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DONNER,2680,8/27/2016,19:00:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DOERNER,63,9/13/2016,14:39:00
FURTO,SETOR INDUSTRIAL SUL,RUA,VALDIR DOERNER,1392,5/2/2016,15:40:00
FURTO,CETOR INDUSTRIAL,RUA,VALDIR DOERNER,2271,5/12/2016,14:00:00
FURTO,jardim celestre,RUA,UVAS,265,5/15/2016,21:00:00
TRÁFICO ILÍCITO DE DROGAS,SEBASTIAO DE MATOS I,RUA,URANO,,9/14/2016,09:45:00
FURTO,DAURI RIVA,RUA,UNIÃO DO NORTE,Q59,8/25/2016,17:20:00
FURTO,RESIDENCIAL DAURI RIVA,AVENIDA,UNIÃO DO NORTE,Q7,11/24/2016,14:45:00
FURTO,DAURI RIVA,AVENIDA,UNIÃO DO NORTE,,7/1/2016,
FURTO,DAURI RIBAS,AVENIDA,UNIÂO DO NORTE,QD 31,8/4/2016,19:00:00
FURTO,DAURI RIVA,AVENIDA,UNIAO DO NORTE,3,7/13/2016,21:20:00
FURTO,DAURI RIVA,AVENIDA,UNIAO DO NORTE,7,11/29/2016,22:00:00
FURTO,JD PRIMAVERA,RUA,UMARIS,280,11/29/2016,16:00:00
FURTO,PRIMAVERAS,RUA,UMARIS,294,7/18/2016,15:30:00
ROUBO,JD PRIMAVERA,RUA,UMARIS,724,12/21/2016,
USO ILÍCITO DE DROGAS,JARDIM PRIMAVERAS,RUA,UMARIS,4158,12/21/2016,15:20:00
FURTO,JARDIM ITALIA III,RUA,TURINO,4,8/24/2016,10:00:00
FURTO,RECANTO DOS PASSAROS,RUA,TUIUIUS,899,11/16/2016,15:00:00
HOMICÍDIO DOLOSO,RECANTO DOS PASSAROS,RUA,TUCANOS,,6/18/2016,19:00:00
FURTO,CAMPING CLUBE,RUA,TUBARÃO,90,7/16/2016,
FURTO,GLEBA 05,ESTRADA,TRAVESSÃO CORREGO FUNDO,397,11/17/2016,15:29:00
FURTO,VILA AMERICA,RUA,TRAVESSA 09,,5/19/2016,15:10:00
USO ILÍCITO DE DROGAS,VILA MARIANA,RUA,TRAVESSA,48,11/28/2016,14:33:00
ROUBO,VILA ITALIA,RUA,TOSCANA,,11/16/2016,17:00:00
FURTO,JARDIM ITALIA III,RODOVIA,TORINO,4,8/5/2016,22:00:00
ROUBO,JARDIM TERRA RICA,RUA,TOLEDO,,6/30/2016,21:00:00
FURTO,JARDIM TERRA RICA,RUA,TOLEDO,,5/5/2016,23:15:00
FURTO,CENTRO,RUA,TILHAS,214,5/15/2016,23:00:00
HOMICÍDIO DOLOSO,RESIDENCIAL CAMPIM CLUB,RUA,TILAPIAS,280,9/21/2016,13:30:00
FURTO,JARDIM PRIMAVERAS,RUA,THUMBÉRGIAS,503,7/26/2016,08:40:00
FURTO,JD PRIMAVERA,RUA,THUMBERGIAS,2732,7/28/2016,17:00:00
FURTO,SEBASTIÃO DE MATOS I,RUA,TEVES,,7/17/2016,00:50:00
FURTO,SEBASTIAO DE MATOS,RUA,TERRA,Q:15,11/1/2016,03:00:00
FURTO,SEBASTIÃO DE MATOS I,RUA,TERRA,QD 15,11/1/2016,01:30:00
FURTO,SEBASTIÃO DE MATOS,RUA,TERRA,,10/16/2016,20:00:00
FURTO,JARDIM MARIA VIDILINA II,RUA,TELES PIRES,1125,11/22/2016,03:00:00
ROUBO,MARIA VINDILINA II,RUA,TELES PIRES,,8/5/2016,12:40:00
FURTO,MARIA VIDILINA I,RUA,TELES PIRES,,5/9/2016,19:00:00
ROUBO,MARIA VINDILINA,RUA,TELES PIRES,,5/23/2016,00:00:00
FURTO,JOSÉ ADRIANO LEITÃO,RUA,TATUAPÉ,,11/23/2016,21:20:00
ROUBO,CENTRO,AVENIDA,TARUMÃS,,7/8/2016,12:30:00
FURTO,CENTRO,AVENIDA,TARUMÃS,,6/8/2016,18:05:00
ROUBO,CENTRO,AVENIDA,TARUMÃS,,6/25/2016,19:40:00
FURTO,CENTRO,AVENIDA,TARUMÃS,,5/4/2016,21:00:00
FURTO,BOTANICO,AVENIDA,TARUMÃS,,10/7/2016,15:30:00
FURTO,SETOR COMERCIAL,RUA,TARUMÁS,1896,12/28/2016,07:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,549,10/18/2016,
FURTO,JARDIM TARUMAS,AVENIDA,TARUMAS,800,12/16/2016,18:30:00
ROUBO,CENTRO,AVENIDA,TARUMAS,916,12/16/2016,23:15:00
FURTO,JD BOTANICO,AVENIDA,TARUMAS,995,9/14/2016,09:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,995,7/14/2016,10:00:00
FURTO,JD DAS NAÇOES,AVENIDA,TARUMAS,3532,8/25/2016,15:30:00
FURTO,JARDIM BOTÂNICO,AVENIDA,TARUMAS,,9/17/2016,19:15:00
ROUBO,JD MARINGÁ 1,AVENIDA,TARUMAS,,7/27/2016,03:45:00
FURTO,CENTRO,AVENIDA,TARUMAS,,7/5/2016,20:30:00
FURTO,CENTRO,AVENIDA,TARUMAS,,6/22/2016,21:00:00
FURTO,CENTROS,AVENIDA,TARUMAS,,5/3/2016,17:30:00
ROUBO,CENTROS,AVENIDA,TARUMAS,,5/26/2016,04:00:00
FURTO,JARDIM BOTANICO,AVENIDA,TARUMAS,,11/22/2016,12:40:00
FURTO,CENTRO,AVENIDA,TARUMAS,,11/12/2016,00:00:00
ROUBO,JARDIM BOTÂNICO,AVENIDA,TARUMAS,,10/6/2016,17:30:00
FURTO,JARDIM TARUMÃS,AVENIDA,TARUMAS,,10/5/2016,19:00:00
TRÁFICO ILÍCITO DE DROGAS,HABITAR BRASIL,RUA,TANGERINAS,30,8/2/2016,06:00:00
TRÁFICO ILÍCITO DE DROGAS,HABITAR BRASIL,RUA,TANGERINAS,,6/13/2016,00:10:00
ROUBO,JARDIM ITALIA 2,RUA,TANCREDO NEVES,246,6/23/2016,21:00:00
FURTO,JARDIM ITALIA I,RUA,TANCREDO NEVES,168A,5/26/2016,08:30:00
